Epoch [5/200], Step [600/600], d_loss: 0.3721, g_loss: 1.7027, D(x): 0.70, D(G(z)): 0.27
Epoch [6/200], Step [50/600], d_loss: 0.3563, g_loss: 1.7172, D(x): 0.72, D(G(z)): 0.28
Epoch [6/200], Step [100/600], d_loss: 0.3890, g_loss: 1.6917, D(x): 0.70, D(G(z)): 0.30
Epoch [6/200], Step [150/600], d_loss: 0.3286, g_loss: 1.5189, D(x): 0.75, D(G(z)): 0.27
Epoch [6/200], Step [200/600], d_loss: 0.3549, g_loss: 1.3947, D(x): 0.78, D(G(z)): 0.32
Epoch [6/200], Step [250/600], d_loss: 0.4188, g_loss: 1.4257, D(x): 0.72, D(G(z)): 0.34
Epoch [6/200], Step [300/600], d_loss: 0.3564, g_loss: 1.5704, D(x): 0.76, D(G(z)): 0.32
Epoch [6/200], Step [350/600], d_loss: 0.3404, g_loss: 1.5643, D(x): 0.74, D(G(z)): 0.25
Epoch [6/200], Step [400/600], d_loss: 0.3130, g_loss: 1.5949, D(x): 0.74, D(G(z)): 0.24
Epoch [6/200], Step [450/600], d_loss: 0.3699, g_loss: 1.5742, D(x): 0.67, D(G(z)): 0.24
Epoch [6/200], Step [500/600], d_loss: 0.3185, g_loss: 1.7126, D(x): 0.75, D(G(z)): 0.25
Epoch [6/200], Step [550/600], d_loss: 0.3495, g_loss: 1.4312, D(x): 0.78, D(G(z)): 0.31
Epoch [6/200], Step [600/600], d_loss: 0.3797, g_loss: 1.5074, D(x): 0.74, D(G(z)): 0.30
Epoch [7/200], Step [50/600], d_loss: 0.3312, g_loss: 1.5808, D(x): 0.71, D(G(z)): 0.23
Epoch [7/200], Step [100/600], d_loss: 0.3370, g_loss: 1.3754, D(x): 0.72, D(G(z)): 0.25
Epoch [7/200], Step [150/600], d_loss: 0.2983, g_loss: 1.6716, D(x): 0.76, D(G(z)): 0.23
Epoch [7/200], Step [200/600], d_loss: 0.3522, g_loss: 1.6686, D(x): 0.68, D(G(z)): 0.21
Epoch [7/200], Step [250/600], d_loss: 0.2981, g_loss: 1.7934, D(x): 0.77, D(G(z)): 0.25
Epoch [7/200], Step [300/600], d_loss: 0.3579, g_loss: 1.8157, D(x): 0.73, D(G(z)): 0.27
Epoch [7/200], Step [350/600], d_loss: 0.3548, g_loss: 1.5176, D(x): 0.73, D(G(z)): 0.27
Epoch [7/200], Step [400/600], d_loss: 0.3743, g_loss: 1.5305, D(x): 0.76, D(G(z)): 0.33
Epoch [7/200], Step [450/600], d_loss: 0.4507, g_loss: 1.3962, D(x): 0.65, D(G(z)): 0.31
Epoch [10/200], Step [50/600], d_loss: 0.3875, g_loss: 1.7711, D(x): 0.66, D(G(z)): 0.25
Epoch [10/200], Step [100/600], d_loss: 0.2571, g_loss: 1.5961, D(x): 0.80, D(G(z)): 0.22
Epoch [10/200], Step [150/600], d_loss: 0.4535, g_loss: 1.5719, D(x): 0.62, D(G(z)): 0.27
Epoch [10/200], Step [200/600], d_loss: 0.2656, g_loss: 1.6594, D(x): 0.80, D(G(z)): 0.23
Epoch [10/200], Step [250/600], d_loss: 0.3007, g_loss: 1.1759, D(x): 0.80, D(G(z)): 0.27
Epoch [10/200], Step [300/600], d_loss: 0.3576, g_loss: 1.4825, D(x): 0.77, D(G(z)): 0.31
Epoch [10/200], Step [350/600], d_loss: 0.4488, g_loss: 1.7201, D(x): 0.77, D(G(z)): 0.39
Epoch [10/200], Step [400/600], d_loss: 0.3832, g_loss: 1.6209, D(x): 0.74, D(G(z)): 0.31
Epoch [10/200], Step [450/600], d_loss: 0.3943, g_loss: 1.6288, D(x): 0.71, D(G(z)): 0.30
Epoch [10/200], Step [500/600], d_loss: 0.3904, g_loss: 1.4326, D(x): 0.75, D(G(z)): 0.33
Epoch [10/200], Step [550/600], d_loss: 0.3559, g_loss: 1.4385, D(x): 0.75, D(G(z)): 0.30
Epoch [10/200], Step [600/600], d_loss: 0.3554, g_loss: 1.7389, D(x): 0.69, D(G(z)): 0.23
Epoch [11/200], Step [50/600], d_loss: 0.3600, g_loss: 1.7097, D(x): 0.76, D(G(z)): 0.30
Epoch [11/200], Step [100/600], d_loss: 0.3173, g_loss: 1.6177, D(x): 0.76, D(G(z)): 0.27
Epoch [11/200], Step [150/600], d_loss: 0.2998, g_loss: 1.5972, D(x): 0.78, D(G(z)): 0.26
Epoch [11/200], Step [200/600], d_loss: 0.3770, g_loss: 1.6693, D(x): 0.74, D(G(z)): 0.30
Epoch [11/200], Step [250/600], d_loss: 0.4236, g_loss: 1.9104, D(x): 0.69, D(G(z)): 0.30
Epoch [11/200], Step [300/600], d_loss: 0.4019, g_loss: 1.4738, D(x): 0.68, D(G(z)): 0.27
Epoch [11/200], Step [350/600], d_loss: 0.4339, g_loss: 1.6729, D(x): 0.77, D(G(z)): 0.38
